HHID,urban,year,month,index,inflation,ctotal,total_W,inctotal,wage_total,w_share,worker,ocupation,sex,age,father_educ,father_ocup,writeread,classeduc,region,familysize,wave,region2,region3,region4,female
H01813-04-01,1,2014,7,45,1.0868319920274498,5524.175058408367,0.0,,,,0.0,nothing,2.0,64.0,,,0.0,16.0,1.0,6,2013-2014,0,0,0,1
H02108-04-01,1,2013,10,46,1.0868319920274498,1943.5074561791348,0.0,69007.90605187276,,,0.0,businessman,2.0,33.0,,,0.0,31.0,1.0,5,2013-2014,0,0,0,1
H02111-04-01,1,2014,4,48,1.0868319920274498,4239.209393363463,0.0,,,,0.0,nothing,1.0,41.0,,,0.0,34.0,1.0,11,2013-2014,0,0,0,0
H02203-04-01,1,2013,11,50,1.0868319920274498,2621.7183594115154,0.0,,,,0.0,nothing,2.0,40.0,,,0.0,34.0,1.0,6,2013-2014,0,0,0,1
H02205-04-01,1,2014,6,51,1.0868319920274498,17531.972370247833,21850004.0,920105.41402497,,,0.0,businessman,1.0,54.0,,,0.0,61.0,1.0,9,2013-2014,0,0,0,0
H02206-04-01,1,2013,12,52,1.0868319920274498,3618.476401795837,0.0,,,,0.0,nothing,1.0,44.0,,,0.0,31.0,1.0,5,2013-2014,0,0,0,0
H02304-04-01,0,2013,12,54,1.08552613447724,2505.148696979404,0.0,1051563.8120032141,,,0.0,businessman,1.0,30.0,8.0,19.0,0.0,32.0,1.0,2,2013-2014,0,0,0,0
H02305-04-01,1,2013,12,55,1.08552613447724,3674.963541691029,0.0,101.84689363394972,,,0.0,farmer,2.0,73.0,,,0.0,13.0,1.0,4,2013-2014,0,0,0,1
H02401-04-01,0,2014,1,57,1.07578104320216,1896.8947361100231,0.0,,,,0.0,nothing,1.0,36.0,34.0,5.0,0.0,13.0,1.0,1,2013-2014,0,0,0,0
H02407-04-01,1,2014,1,58,1.07578104320216,1455.2662271396389,10712000.0,,,,0.0,nothing,1.0,41.0,,10.0,0.0,41.0,1.0,1,2013-2014,0,0,0,0
H02409-04-01,1,2014,1,59,1.07592128257322,938.3858648345982,100000.0,,,,0.0,nothing,2.0,43.0,34.0,10.0,0.0,17.0,1.0,1,2013-2014,0,0,0,1
H02412-04-01,1,2014,1,60,1.07592128257322,3021.1727774795813,0.0,,,,0.0,nothing,1.0,39.0,,,0.0,34.0,1.0,7,2013-2014,0,0,0,0
H02507-04-01,1,2014,2,61,1.07592128257322,4093.572704487127,0.0,,,,0.0,nothing,1.0,42.0,,,0.0,34.0,1.0,6,2013-2014,0,0,0,0
H02601-04-01,1,2014,3,62,1.08552613447724,3596.548555753282,0.0,1750303.3226509911,,,0.0,businessman,1.0,25.0,34.0,1.0,0.0,61.0,1.0,1,2013-2014,0,0,0,0
H02601-04-02,1,2014,4,63,1.08552613447724,4394.230519879322,0.0,907394.0909532772,,,0.0,businessman,1.0,59.0,,,0.0,34.0,1.0,9,2013-2014,0,0,0,0
H02602-04-01,1,2014,3,64,1.08552613447724,5815.243961686709,0.0,,,,0.0,nothing,1.0,79.0,,,0.0,16.0,1.0,11,2013-2014,0,0,0,0
H02608-04-01,1,2014,3,65,1.08552613447724,2072.406231441027,0.0,165818.20951430444,,,0.0,businessman,1.0,65.0,,,0.0,14.0,1.0,4,2013-2014,0,0,0,0
H02608-04-02,1,2014,10,66,1.08552613447724,4593.2236812871915,0.0,,,,0.0,nothing,1.0,28.0,,5.0,0.0,51.0,1.0,3,2013-2014,0,0,0,0
H02609-04-01,1,2014,3,67,1.07578104320216,1355.2636121215126,0.0,92955.71866775132,,,0.0,businessman,1.0,59.0,,,0.0,14.0,1.0,2,2013-2014,0,0,0,0
H02703-04-02,1,2013,10,68,1.07578104320216,3089.5885201040346,0.0,,,,0.0,nothing,1.0,41.0,4.0,19.0,0.0,51.0,1.0,4,2013-2014,0,0,0,0
H02705-04-01,1,2013,10,69,1.07531979700378,3849.5772369963397,0.0,,,,0.0,nothing,1.0,51.0,,,1.0,15.0,1.0,3,2013-2014,0,0,0,0
H02705-04-02,1,2014,7,70,1.07531979700378,764.0557930160173,0.0,381281.92296134104,,,0.0,businessman,1.0,23.0,13.0,4.0,0.0,36.0,1.0,1,2013-2014,0,0,0,0
H02706-04-01,1,2013,10,71,1.07531979700378,2701.1928242788904,0.0,,,,0.0,nothing,1.0,27.0,4.0,19.0,0.0,35.0,1.0,3,2013-2014,0,0,0,0
H02710-04-01,1,2013,10,72,1.07531979700378,2997.4828330319733,0.0,,,,0.0,nothing,2.0,74.0,,,0.0,16.0,1.0,9,2013-2014,0,0,0,1
H02711-04-01,1,2013,10,73,1.0965546293128199,1363.9250163268941,0.0,,,,0.0,nothing,1.0,70.0,,,0.0,41.0,1.0,1,2013-2014,0,0,0,0
H02711-04-02,1,2013,10,74,1.07578104320216,2329.058391028985,0.0,,,,0.0,nothing,1.0,22.0,9.0,5.0,0.0,,1.0,2,2013-2014,0,0,0,0
H02711-04-03,1,2013,10,75,1.07578104320216,7953.927008316585,0.0,,,,0.0,nothing,1.0,38.0,,,0.0,61.0,1.0,6,2013-2014,0,0,0,0
H02802-04-01,1,2013,12,76,1.0965546293128199,8245.594761407612,0.0,182389.45388916405,,,0.0,businessman,1.0,47.0,,,0.0,36.0,1.0,7,2013-2014,0,0,0,0
H02803-04-01,1,2013,12,77,1.0965546293128199,1105.170567636292,0.0,,,,,,1.0,53.0,,,0.0,14.0,1.0,6,2013-2014,0,0,0,0
H02811-04-01,1,2013,12,78,1.0965546293128199,1535.9579467914907,0.0,136792.09041687305,,,0.0,businessman,2.0,47.0,4.0,10.0,0.0,51.0,1.0,4,2013-2014,0,0,0,1
H03001-04-01,0,2014,1,79,1.07578104320216,2853.0390355918184,1750000.0,697167.8900081349,,,0.0,businessman,1.0,30.0,,19.0,0.0,32.0,1.0,6,2013-2014,0,0,0,0
H03003-04-01,1,2014,1,80,1.07578104320216,13899.308498767568,14120000.0,1403631.351883045,,,0.0,businessman,1.0,30.0,17.0,19.0,0.0,17.0,1.0,5,2013-2014,0,0,0,0
H03006-04-01,1,2014,1,82,1.07578104320216,5127.694279187795,21250000.0,,,,0.0,nothing,2.0,68.0,,,1.0,22.0,1.0,9,2013-2014,0,0,0,1
H03010-04-01,1,2014,1,83,1.07578104320216,2595.324786325281,20660000.0,185911.43733550265,,,0.0,businessman,1.0,37.0,,,0.0,36.0,1.0,6,2013-2014,0,0,0,0
H03401-04-01,1,2013,11,84,1.07578104320216,4009.734752810144,0.0,548438.7401397327,,,0.0,businessman,2.0,41.0,,,0.0,34.0,1.0,4,2013-2014,0,0,0,1
H03409-04-01,1,2014,6,86,1.07578104320216,4017.208897239514,0.0,46477.859333875655,,,0.0,businessman,2.0,64.0,,,0.0,15.0,1.0,17,2013-2014,0,0,0,1
H03409-04-02,1,2014,10,87,1.07578104320216,2263.228426631843,0.0,,,,0.0,nothing,1.0,24.0,,,0.0,36.0,1.0,3,2013-2014,0,0,0,0
H03410-04-01,1,2014,6,88,1.07578104320216,5665.257743915539,0.0,,,,,,1.0,42.0,,,0.0,33.0,1.0,10,2013-2014,0,0,0,0
H03410-04-02,1,2014,6,89,1.07578104320216,3246.7654654472785,0.0,139433.57800162694,,,0.0,businessman,1.0,25.0,,,1.0,10.0,1.0,5,2013-2014,0,0,0,0
H03503-04-01,1,2013,12,90,1.07578104320216,2090.0295028358714,0.0,-148729.1498684021,,,0.0,businessman,1.0,52.0,,,0.0,17.0,1.0,6,2013-2014,0,0,0,0
H03511-04-01,1,2013,12,91,1.07578104320216,1608.4502545550388,5100000.0,,,,,,1.0,46.0,,,0.0,11.0,1.0,3,2013-2014,0,0,0,0
H03512-04-01,1,2013,12,92,1.07578104320216,1578.3380765174818,0.0,,,,,,1.0,44.0,2.0,99.0,1.0,,1.0,2,2013-2014,0,0,0,0
H03515-04-01,1,2013,12,93,1.06875102353536,1049.5737749416114,0.0,,,,0.0,nothing,1.0,69.0,,,0.0,16.0,1.0,3,2013-2014,0,0,0,0
H03706-04-01,0,2014,1,105,1.08552613447724,1582.97136916655,10650000.0,44.442280858450786,,,0.0,farmer,1.0,79.0,,,1.0,13.0,1.0,8,2013-2014,0,0,0,0
H03707-04-02,1,2014,7,107,1.07578104320216,785.2163657239781,0.0,,,,0.0,nothing,2.0,23.0,,,0.0,17.0,1.0,2,2013-2014,0,0,0,1
H03711-04-04,0,2014,7,111,1.0965546293128199,2409.7301218930256,0.0,193332.82112251394,,,0.0,businessman,1.0,31.0,17.0,21.0,0.0,13.0,1.0,8,2013-2014,0,0,0,0
H03804-04-01,1,2013,11,112,1.0965546293128199,879.7651255480478,0.0,,,,,,1.0,49.0,,,0.0,32.0,1.0,1,2013-2014,0,0,0,0
H03810-04-01,1,2014,6,115,1.0868319920274498,1592.9135358329224,0.0,101211.59554274671,,,0.0,businessman,1.0,54.0,8.0,19.0,0.0,51.0,1.0,5,2013-2014,0,0,0,0
H03811-04-01,1,2014,6,116,1.0868319920274498,2094.6003823869783,0.0,124214.230893371,,,0.0,businessman,2.0,35.0,,,0.0,51.0,1.0,6,2013-2014,0,0,0,1
H03813-04-01,1,2013,11,117,1.0868319920274498,1696.5942985202726,0.0,1582581.3121229487,,,0.0,businessman,2.0,33.0,,,0.0,41.0,1.0,4,2013-2014,0,0,0,1
H03901-04-01,0,2013,10,118,1.0868319920274498,999.8168916437078,0.0,,,,0.0,nothing,1.0,28.0,,,0.0,17.0,1.0,1,2013-2014,0,0,0,0
H03909-04-01,0,2014,4,124,1.0747256362995699,2769.6598465631982,0.0,74437.60276850856,,,0.0,businessman,1.0,44.0,,19.0,0.0,15.0,1.0,9,2013-2014,0,0,0,0
H04003-04-03,1,2014,8,130,1.07578104320216,1343.4774611792095,0.0,,,,,,1.0,31.0,4.0,1.0,0.0,36.0,1.0,2,2013-2014,0,0,0,0
H04006-04-01,0,2014,2,133,1.0693649877067402,600.3984500522124,1020000.0,37405.37651768482,,,0.0,businessman,1.0,81.0,,,1.0,,1.0,1,2013-2014,0,0,0,0
H04009-04-01,0,2014,2,135,1.0747256362995699,509.60417529554286,0.0,,,,0.0,nothing,1.0,58.0,,,0.0,13.0,1.0,1,2013-2014,0,0,0,0
H04010-04-01,0,2014,2,136,1.0747256362995699,1978.5648274038128,0.0,102351.70380669928,,,0.0,businessman,1.0,50.0,,,0.0,34.0,1.0,8,2013-2014,0,0,0,0
H04010-04-02,0,2014,8,137,1.07531979700378,1474.4759765853466,11290000.0,,,,0.0,nothing,1.0,25.0,34.0,19.0,0.0,51.0,1.0,1,2013-2014,0,0,0,0
H04011-04-02,1,2014,8,139,1.0747256362995699,955.184110611832,390000.0,,,,0.0,nothing,2.0,30.0,,19.0,0.0,31.0,1.0,2,2013-2014,0,0,0,1
H04206-04-01,0,2013,10,145,1.0868319920274498,442.1815580545919,0.0,9201.054140249702,,,0.0,businessman,1.0,64.0,,,0.0,16.0,1.0,1,2013-2014,0,0,0,0
H04208-04-02,0,2014,3,148,1.07531979700378,1536.4876564080926,0.0,213889.85922221566,,,0.0,businessman,1.0,43.0,,,0.0,16.0,1.0,8,2013-2014,0,0,0,0
H04501-04-01,1,2013,12,151,1.07531979700378,1330.8964697957558,48000.0,,,,,,2.0,53.0,,,0.0,15.0,1.0,6,2013-2014,0,0,0,1
H04505-04-01,1,2014,6,152,1.0693649877067402,4433.347360639014,64355000.0,4984266.420981502,,,0.0,businessman,2.0,58.0,,,0.0,51.0,1.0,4,2013-2014,0,0,0,1
H04508-04-02,1,2014,6,153,1.0693649877067402,1848.5866661912241,0.0,121567.47368247568,,,0.0,businessman,2.0,24.0,,19.0,0.0,32.0,1.0,4,2013-2014,0,0,0,1
H04508-04-04,1,2014,10,155,1.0693649877067402,2251.647820871347,0.0,,,,0.0,nothing,1.0,25.0,,,0.0,32.0,1.0,3,2013-2014,0,0,0,0
H04602-04-01,0,2014,4,157,1.0747256362995699,1436.5169080288952,477000.0,,,,0.0,nothing,2.0,55.0,,,1.0,,1.0,5,2013-2014,0,0,0,1
H04603-04-01,0,2014,4,158,1.0747256362995699,1131.0709271840512,0.0,65.4629869450796,,,0.0,farmer,1.0,85.0,,,1.0,13.0,1.0,4,2013-2014,0,0,0,0
H04606-04-01,0,2014,4,160,1.07578104320216,1278.9770320892162,7587000.0,,,,,,1.0,38.0,,,0.0,17.0,1.0,9,2013-2014,0,0,0,0
H04607-04-01,0,2013,10,162,1.0965546293128199,1270.1177155141295,0.0,73.32551134556577,,,0.0,farmer,2.0,49.0,,,1.0,,1.0,4,2013-2014,0,0,0,1
H04610-04-02,0,2013,10,166,1.0731904059908899,542.9674153132939,4820000.0,65226.07694705221,,,0.0,businessman,1.0,20.0,2.0,19.0,0.0,15.0,1.0,1,2013-2014,0,0,0,0
H04802-04-02,0,2014,5,170,1.07578104320216,713.8885931648488,4294000.0,,,,,,1.0,31.0,,,0.0,15.0,1.0,4,2013-2014,0,0,0,0
H04802-04-03,1,2014,10,171,1.07578104320216,2490.255563673949,3810000.0,,,,0.0,nothing,1.0,27.0,,1.0,0.0,51.0,1.0,3,2013-2014,0,0,0,0
H04805-04-01,0,2013,11,174,1.08552613447724,879.8716950725976,0.0,,,,,,2.0,71.0,,,1.0,,1.0,2,2013-2014,0,0,0,1
H04806-04-01,0,2013,11,175,1.08552613447724,2645.5264783447988,104300000.0,460606.1375397346,,,0.0,businessman,1.0,33.0,,,0.0,33.0,1.0,9,2013-2014,0,0,0,0
H04807-04-01,0,2013,11,176,1.07578104320216,205.71863874106603,0.0,,,,,,1.0,74.0,,,0.0,16.0,1.0,1,2013-2014,0,0,0,0
H04808-04-01,1,2013,11,177,1.07578104320216,2712.252026580902,36410000.0,390544.81593206956,,,0.0,businessman,1.0,60.0,,,0.0,15.0,1.0,7,2013-2014,0,0,0,0
H04808-04-02,1,2014,10,178,1.07578104320216,2023.1215368383405,0.0,557734.3120065079,,,0.0,businessman,2.0,26.0,,4.0,0.0,51.0,1.0,1,2013-2014,0,0,0,1
H04810-04-01,0,2014,5,179,1.07578104320216,764.698401929891,12210000.0,,,,0.0,nothing,2.0,54.0,,,0.0,12.0,1.0,3,2013-2014,0,0,0,1
H04907-04-01,0,2014,2,182,1.07004113303359,2342.996961921019,6520000.0,,,,,,1.0,56.0,,,0.0,16.0,1.0,10,2013-2014,0,0,0,0
H04908-04-01,0,2014,2,183,1.07004113303359,2489.235578268871,17498000.0,,,,0.0,nothing,1.0,39.0,,,0.0,13.0,1.0,11,2013-2014,0,0,0,0
H04912-04-01,0,2014,8,186,1.0868319920274498,1274.0462845491859,10690000.0,82864.97336509201,,,0.0,businessman,1.0,33.0,,,0.0,17.0,1.0,6,2013-2014,0,0,0,0
H04913-04-01,0,2014,8,187,1.0868319920274498,1284.4321448252429,2535000.0,70848.1168799227,,,0.0,businessman,2.0,63.0,,,0.0,13.0,1.0,3,2013-2014,0,0,0,1
H04913-04-02,0,2014,8,188,1.0868319920274498,1054.9473143419555,1927000.0,,,,0.0,nothing,1.0,26.0,14.0,19.0,0.0,13.0,1.0,3,2013-2014,0,0,0,0
H04913-04-03,0,2014,8,189,1.0693649877067402,1222.4139916289732,2510000.0,,,,0.0,nothing,1.0,27.0,73.0,19.0,0.0,16.0,1.0,3,2013-2014,0,0,0,0
H04913-04-04,0,2014,8,190,1.0693649877067402,1065.5274076548264,0.0,,,,,,1.0,21.0,,19.0,0.0,13.0,1.0,2,2013-2014,0,0,0,0
H04913-04-06,0,2014,8,192,1.0693649877067402,1737.1755021800902,0.0,607837.3684123782,,,0.0,businessman,1.0,39.0,,,0.0,15.0,1.0,10,2013-2014,0,0,0,0
H05002-04-01,0,2014,6,193,1.0693649877067402,617.1715779241027,0.0,,,,0.0,nothing,2.0,84.0,,,1.0,,1.0,3,2013-2014,0,0,0,1
H05003-04-02,1,2014,10,195,1.0693649877067402,648.0789579466592,0.0,,,,,,1.0,17.0,,19.0,0.0,32.0,1.0,1,2013-2014,0,0,0,0
H05005-04-01,0,2014,6,197,1.0747256362995699,1451.839563214941,2525000.0,,,,0.0,nothing,2.0,69.0,,,1.0,,1.0,5,2013-2014,0,0,0,1
H05103-04-01,0,2014,3,205,1.06875102353536,921.6847766151054,0.0,4678.358092664389,,,0.0,businessman,1.0,36.0,,19.0,0.0,14.0,1.0,6,2013-2014,0,0,0,0
H05104-04-01,0,2014,3,206,1.06875102353536,735.475675086592,0.0,,,,0.0,nothing,2.0,33.0,,,0.0,15.0,1.0,1,2013-2014,0,0,0,1
H05108-04-01,0,2013,9,210,1.0868319920274498,2289.370830577691,0.0,105812.12261287156,,,0.0,businessman,1.0,39.0,,,0.0,14.0,1.0,7,2013-2014,0,0,0,0
H05110-04-01,0,2014,8,212,1.07592128257322,638.3811948227714,0.0,,,,,,2.0,27.0,,,0.0,31.0,1.0,1,2013-2014,0,0,0,1
H05301-04-01,1,2014,4,213,1.07592128257322,1916.3292316671632,0.0,697077.0186888279,,,0.0,businessman,2.0,32.0,32.0,5.0,0.0,41.0,1.0,3,2013-2014,0,0,0,1
H05305-04-05,1,2014,4,220,1.0747256362995699,3020.649254751531,0.0,576891.4214559413,,,0.0,businessman,1.0,51.0,,19.0,0.0,36.0,1.0,12,2013-2014,0,0,0,0
H05306-04-02,0,2013,10,222,1.0693649877067402,519.8585170811527,33000.0,,,,,,1.0,49.0,,,1.0,14.0,1.0,1,2013-2014,0,0,0,0
H05310-04-01,0,2013,10,225,1.06875102353536,618.3580279964776,0.0,,,,0.0,nothing,1.0,65.0,,,1.0,14.0,1.0,1,2013-2014,0,0,0,0
H05405-04-01,0,2014,2,229,1.0868319920274498,542.6967674386229,9030000.0,,,,,,2.0,75.0,,,1.0,,1.0,1,2013-2014,0,0,0,1
H05406-04-01,0,2014,2,230,1.07531979700378,720.6296427401469,0.0,,,,0.0,nothing,2.0,40.0,,19.0,1.0,,1.0,3,2013-2014,0,0,0,1
H05407-04-01,0,2014,8,231,1.07531979700378,2237.02192000568,8290000.0,,,,0.0,nothing,2.0,71.0,,,0.0,,1.0,7,2013-2014,0,0,0,1
H05407-04-02,0,2014,8,232,1.07004113303359,1523.2225839157184,2835000.0,654180.4594141954,,,0.0,businessman,1.0,33.0,,88.0,0.0,17.0,1.0,3,2013-2014,0,0,0,0
H05711-04-02,0,2014,9,248,1.07578104320216,1208.7272611304766,320000.0,185911.43733550265,,,0.0,businessman,1.0,25.0,,19.0,0.0,51.0,1.0,2,2013-2014,0,0,0,0
H05903-04-01,0,2014,3,250,1.07578104320216,2470.2047339066976,0.0,,,,,,1.0,33.0,,19.0,0.0,51.0,1.0,3,2013-2014,0,0,0,0
H05904-04-01,1,2014,3,251,1.07578104320216,7472.814894062587,0.0,1859114.373355026,,,0.0,businessman,1.0,46.0,,,0.0,61.0,1.0,4,2013-2014,0,0,0,0
H05906-04-01,1,2014,3,252,1.07578104320216,12114.725718728027,0.0,1766158.654687275,,,0.0,businessman,1.0,44.0,,10.0,0.0,32.0,1.0,17,2013-2014,0,0,0,0
H05906-04-02,0,2014,9,253,1.07578104320216,947.6352735160511,0.0,28.028041610136512,,,0.0,farmer,1.0,62.0,,,0.0,17.0,4.0,7,2013-2014,0,0,1,0
H06001-04-01,0,2014,1,255,1.08515671048443,3750.452799280355,72970000.0,341120.17907115724,,,0.0,businessman,1.0,36.0,,,0.0,51.0,1.0,6,2013-2014,0,0,0,0
H06005-04-01,1,2014,7,256,1.08515671048443,3842.146208460914,142280000.0,645068.1207947466,,,0.0,businessman,1.0,48.0,,,0.0,36.0,1.0,8,2013-2014,0,0,0,0
H06007-04-01,1,2014,1,258,1.08515671048443,979.9866692141353,2132000.0,115190.73585620474,,,0.0,businessman,1.0,44.0,,,0.0,17.0,1.0,1,2013-2014,0,0,0,0
H06101-04-01,0,2014,6,262,1.07004113303359,3446.217037521489,3245000.0,93604.63608895797,,,0.0,businessman,1.0,60.0,,19.0,0.0,11.0,1.0,6,2013-2014,0,0,0,0
H06104-04-02,1,2014,7,266,1.08552613447724,1761.3814870358115,30000.0,,,,0.0,nothing,2.0,24.0,,,0.0,33.0,1.0,2,2013-2014,0,0,0,1
H06104-04-03,1,2014,6,267,1.08552613447724,1734.6021639544372,19300000.0,,,,,,2.0,38.0,,,1.0,,1.0,4,2013-2014,0,0,0,1
